Name;incr_pd_notation
3_1;[[6, 3, 1, 4], [4, 1, 5, 2], [2, 5, 3, 6]]
4_1;[[8, 5, 1, 6], [4, 1, 5, 2], [2, 8, 3, 7], [6, 4, 7, 3]]
5_1;[[10, 5, 1, 6], [6, 1, 7, 2], [2, 7, 3, 8], [8, 3, 9, 4], [4, 9, 5, 10]]
5_2;[[5, 1, 6, 10], [1, 7, 2, 6], [9, 3, 10, 2], [3, 9, 4, 8], [7, 5, 8, 4]]
6_1;[[7, 12, 8, 1], [1, 6, 2, 7], [11, 3, 12, 2], [3, 11, 4, 10], [9, 5, 10, 4], [5, 9, 6, 8]]
6_2;[[12, 8, 1, 7], [8, 2, 9, 1], [2, 10, 3, 9], [6, 4, 7, 3], [4, 11, 5, 12], [10, 5, 11, 6]]
6_3;[[9, 12, 10, 1], [1, 5, 2, 4], [7, 3, 8, 2], [3, 9, 4, 8], [5, 10, 6, 11], [11, 6, 12, 7]]
7_1;[[14, 7, 1, 8], [8, 1, 9, 2], [2, 9, 3, 10], [10, 3, 11, 4], [4, 11, 5, 12], [12, 5, 13, 6], [6, 13, 7, 14]]
7_2;[[14, 11, 1, 12], [10, 1, 11, 2], [2, 9, 3, 10], [8, 3, 9, 4], [4, 7, 5, 8], [12, 5, 13, 6], [6, 13, 7, 14]]
7_3;[[14, 9, 1, 10], [8, 1, 9, 2], [2, 7, 3, 8], [10, 3, 11, 4], [4, 11, 5, 12], [12, 5, 13, 6], [6, 13, 7, 14]]
7_4;[[14, 8, 1, 7], [6, 2, 7, 1], [2, 12, 3, 11], [10, 4, 11, 3], [4, 10, 5, 9], [12, 6, 13, 5], [8, 14, 9, 13]]
7_5;[[14, 5, 1, 6], [4, 1, 5, 2], [2, 9, 3, 10], [10, 3, 11, 4], [6, 11, 7, 12], [12, 7, 13, 8], [8, 13, 9, 14]]
7_6;[[9, 14, 10, 1], [1, 8, 2, 9], [13, 3, 14, 2], [3, 13, 4, 12], [7, 4, 8, 5], [5, 10, 6, 11], [11, 6, 12, 7]]
7_7;[[7, 14, 8, 1], [1, 6, 2, 7], [11, 2, 12, 3], [3, 10, 4, 11], [13, 5, 14, 4], [5, 9, 6, 8], [9, 13, 10, 12]]
8_1;[[16, 14, 1, 13], [12, 2, 13, 1], [2, 12, 3, 11], [10, 4, 11, 3], [4, 10, 5, 9], [8, 6, 9, 5], [6, 15, 7, 16], [14, 7, 15, 8]]
8_2;[[9, 16, 10, 1], [1, 10, 2, 11], [11, 2, 12, 3], [3, 12, 4, 13], [13, 4, 14, 5], [5, 8, 6, 9], [15, 7, 16, 6], [7, 15, 8, 14]]
8_3;[[16, 12, 1, 11], [10, 2, 11, 1], [2, 10, 3, 9], [8, 4, 9, 3], [4, 15, 5, 16], [14, 5, 15, 6], [6, 13, 7, 14], [12, 7, 13, 8]]
8_4;[[16, 8, 1, 7], [8, 2, 9, 1], [2, 10, 3, 9], [14, 3, 15, 4], [4, 13, 5, 14], [12, 5, 13, 6], [6, 11, 7, 12], [10, 16, 11, 15]]
8_5;[[11, 1, 12, 16], [1, 13, 2, 12], [13, 3, 14, 2], [3, 9, 4, 8], [9, 5, 10, 4], [5, 11, 6, 10], [15, 6, 16, 7], [7, 14, 8, 15]]
8_6;[[11, 16, 12, 1], [1, 12, 2, 13], [13, 2, 14, 3], [3, 10, 4, 11], [9, 4, 10, 5], [5, 8, 6, 9], [15, 7, 16, 6], [7, 15, 8, 14]]
8_7;[[16, 7, 1, 8], [8, 1, 9, 2], [2, 9, 3, 10], [10, 3, 11, 4], [4, 14, 5, 13], [14, 6, 15, 5], [6, 11, 7, 12], [12, 16, 13, 15]]
8_8;[[5, 16, 6, 1], [1, 6, 2, 7], [11, 3, 12, 2], [3, 13, 4, 12], [7, 4, 8, 5], [15, 9, 16, 8], [9, 15, 10, 14], [13, 11, 14, 10]]
8_9;[[16, 7, 1, 8], [8, 1, 9, 2], [2, 9, 3, 10], [14, 4, 15, 3], [4, 12, 5, 11], [12, 6, 13, 5], [6, 14, 7, 13], [10, 15, 11, 16]]
8_10;[[16, 10, 1, 9], [4, 1, 5, 2], [2, 13, 3, 14], [14, 3, 15, 4], [10, 6, 11, 5], [6, 12, 7, 11], [12, 8, 13, 7], [8, 16, 9, 15]]
8_11;[[11, 16, 12, 1], [1, 10, 2, 11], [9, 2, 10, 3], [3, 12, 4, 13], [13, 4, 14, 5], [5, 8, 6, 9], [15, 7, 16, 6], [7, 15, 8, 14]]
8_12;[[16, 12, 1, 11], [10, 2, 11, 1], [2, 8, 3, 7], [6, 4, 7, 3], [4, 15, 5, 16], [14, 5, 15, 6], [8, 13, 9, 14], [12, 9, 13, 10]]
8_13;[[16, 7, 1, 8], [8, 1, 9, 2], [2, 14, 3, 13], [12, 4, 13, 3], [4, 12, 5, 11], [14, 6, 15, 5], [6, 9, 7, 10], [10, 16, 11, 15]]
8_14;[[9, 1, 10, 16], [1, 11, 2, 10], [13, 3, 14, 2], [3, 7, 4, 6], [15, 4, 16, 5], [5, 14, 6, 15], [7, 13, 8, 12], [11, 9, 12, 8]]
8_15;[[11, 16, 12, 1], [1, 10, 2, 11], [5, 2, 6, 3], [3, 14, 4, 15], [15, 4, 16, 5], [9, 6, 10, 7], [7, 12, 8, 13], [13, 8, 14, 9]]
8_16;[[16, 12, 1, 11], [6, 1, 7, 2], [2, 9, 3, 10], [14, 4, 15, 3], [4, 16, 5, 15], [10, 5, 11, 6], [12, 8, 13, 7], [8, 14, 9, 13]]
8_17;[[16, 7, 1, 8], [12, 2, 13, 1], [2, 10, 3, 9], [14, 3, 15, 4], [4, 15, 5, 16], [10, 6, 11, 5], [6, 12, 7, 11], [8, 13, 9, 14]]
8_18;[[11, 16, 12, 1], [1, 7, 2, 6], [13, 3, 14, 2], [3, 8, 4, 9], [15, 4, 16, 5], [5, 11, 6, 10], [7, 12, 8, 13], [9, 15, 10, 14]]
8_19;[[16, 6, 1, 5], [6, 2, 7, 1], [11, 3, 12, 2], [3, 15, 4, 14], [4, 10, 5, 9], [12, 8, 13, 7], [8, 14, 9, 13], [15, 11, 16, 10]]
8_20;[[16, 7, 1, 8], [1, 12, 2, 13], [9, 2, 10, 3], [14, 3, 15, 4], [4, 15, 5, 16], [10, 6, 11, 5], [6, 12, 7, 11], [13, 9, 14, 8]]
8_21;[[7, 1, 8, 16], [1, 12, 2, 13], [2, 10, 3, 9], [14, 3, 15, 4], [4, 15, 5, 16], [5, 10, 6, 11], [11, 6, 12, 7], [8, 13, 9, 14]]
9_1;[[18, 9, 1, 10], [10, 1, 11, 2], [2, 11, 3, 12], [12, 3, 13, 4], [4, 13, 5, 14], [14, 5, 15, 6], [6, 15, 7, 16], [16, 7, 17, 8], [8, 17, 9, 18]]
9_2;[[18, 15, 1, 16], [14, 1, 15, 2], [2, 13, 3, 14], [12, 3, 13, 4], [4, 11, 5, 12], [10, 5, 11, 6], [6, 9, 7, 10], [16, 7, 17, 8], [8, 17, 9, 18]]
9_3;[[18, 10, 1, 9], [10, 2, 11, 1], [2, 12, 3, 11], [12, 4, 13, 3], [4, 14, 5, 13], [14, 6, 15, 5], [6, 18, 7, 17], [16, 8, 17, 7], [8, 16, 9, 15]]
9_4;[[18, 14, 1, 13], [12, 2, 13, 1], [2, 12, 3, 11], [10, 4, 11, 3], [4, 10, 5, 9], [14, 6, 15, 5], [6, 16, 7, 15], [16, 8, 17, 7], [8, 18, 9, 17]]
9_5;[[18, 14, 1, 13], [12, 2, 13, 1], [2, 12, 3, 11], [10, 4, 11, 3], [4, 10, 5, 9], [16, 6, 17, 5], [6, 16, 7, 15], [14, 8, 15, 7], [8, 18, 9, 17]]
9_6;[[7, 18, 8, 1], [1, 8, 2, 9], [9, 2, 10, 3], [3, 10, 4, 11], [11, 4, 12, 5], [5, 14, 6, 15], [15, 6, 16, 7], [17, 12, 18, 13], [13, 16, 14, 17]]
9_7;[[18, 13, 1, 14], [14, 1, 15, 2], [2, 15, 3, 16], [12, 3, 13, 4], [4, 11, 5, 12], [10, 5, 11, 6], [6, 9, 7, 10], [16, 7, 17, 8], [8, 17, 9, 18]]
9_8;[[18, 16, 1, 15], [14, 2, 15, 1], [2, 14, 3, 13], [12, 4, 13, 3], [4, 9, 5, 10], [10, 5, 11, 6], [6, 17, 7, 18], [16, 7, 17, 8], [8, 11, 9, 12]]
9_9;[[18, 13, 1, 14], [12, 1, 13, 2], [2, 9, 3, 10], [10, 3, 11, 4], [4, 11, 5, 12], [14, 5, 15, 6], [6, 15, 7, 16], [16, 7, 17, 8], [8, 17, 9, 18]]
9_10;[[18, 10, 1, 9], [10, 2, 11, 1], [2, 12, 3, 11], [14, 4, 15, 3], [4, 14, 5, 13], [12, 6, 13, 5], [6, 18, 7, 17], [16, 8, 17, 7], [8, 16, 9, 15]]
9_11;[[7, 1, 8, 18], [1, 9, 2, 8], [9, 3, 10, 2], [3, 11, 4, 10], [15, 5, 16, 4], [5, 15, 6, 14], [11, 7, 12, 6], [17, 12, 18, 13], [13, 16, 14, 17]]
9_12;[[13, 1, 14, 18], [1, 13, 2, 12], [11, 3, 12, 2], [3, 11, 4, 10], [7, 5, 8, 4], [5, 17, 6, 16], [17, 7, 18, 6], [15, 8, 16, 9], [9, 14, 10, 15]]
9_13;[[11, 1, 12, 18], [1, 11, 2, 10], [9, 3, 10, 2], [3, 13, 4, 12], [15, 5, 16, 4], [5, 17, 6, 16], [17, 7, 18, 6], [7, 15, 8, 14], [13, 9, 14, 8]]
9_14;[[13, 1, 14, 18], [1, 13, 2, 12], [11, 3, 12, 2], [3, 11, 4, 10], [15, 4, 16, 5], [5, 8, 6, 9], [17, 7, 18, 6], [7, 17, 8, 16], [9, 14, 10, 15]]
9_15;[[13, 1, 14, 18], [1, 13, 2, 12], [17, 2, 18, 3], [3, 11, 4, 10], [9, 5, 10, 4], [5, 9, 6, 8], [15, 7, 16, 6], [7, 17, 8, 16], [11, 14, 12, 15]]
9_16;[[18, 10, 1, 9], [10, 2, 11, 1], [2, 16, 3, 15], [16, 4, 17, 3], [4, 18, 5, 17], [14, 6, 15, 5], [6, 12, 7, 11], [12, 8, 13, 7], [8, 14, 9, 13]]
9_17;[[18, 12, 1, 11], [10, 2, 11, 1], [2, 13, 3, 14], [14, 3, 15, 4], [4, 15, 5, 16], [8, 5, 9, 6], [6, 18, 7, 17], [16, 8, 17, 7], [12, 9, 13, 10]]
9_18;[[18, 5, 1, 6], [4, 1, 5, 2], [2, 11, 3, 12], [12, 3, 13, 4], [6, 15, 7, 16], [14, 7, 15, 8], [8, 13, 9, 14], [16, 9, 17, 10], [10, 17, 11, 18]]
9_19;[[18, 15, 1, 16], [14, 1, 15, 2], [2, 13, 3, 14], [8, 3, 9, 4], [4, 12, 5, 11], [10, 6, 11, 5], [6, 18, 7, 17], [16, 8, 17, 7], [12, 9, 13, 10]]
9_20;[[7, 18, 8, 1], [1, 8, 2, 9], [9, 2, 10, 3], [3, 17, 4, 16], [15, 5, 16, 4], [5, 12, 6, 13], [13, 6, 14, 7], [17, 10, 18, 11], [11, 14, 12, 15]]
9_21;[[18, 14, 1, 13], [12, 2, 13, 1], [2, 12, 3, 11], [16, 4, 17, 3], [4, 9, 5, 10], [8, 5, 9, 6], [6, 16, 7, 15], [14, 8, 15, 7], [10, 18, 11, 17]]
9_22;[[13, 1, 14, 18], [1, 15, 2, 14], [15, 3, 16, 2], [3, 9, 4, 8], [11, 4, 12, 5], [5, 10, 6, 11], [17, 6, 18, 7], [7, 16, 8, 17], [9, 13, 10, 12]]
9_23;[[11, 18, 12, 1], [1, 12, 2, 13], [15, 2, 16, 3], [3, 8, 4, 9], [7, 4, 8, 5], [5, 16, 6, 17], [17, 6, 18, 7], [9, 14, 10, 15], [13, 10, 14, 11]]
9_24;[[18, 6, 1, 5], [6, 2, 7, 1], [2, 8, 3, 7], [12, 3, 13, 4], [4, 11, 5, 12], [8, 15, 9, 16], [16, 9, 17, 10], [10, 14, 11, 13], [14, 17, 15, 18]]
9_25;[[18, 13, 1, 14], [12, 1, 13, 2], [2, 7, 3, 8], [6, 3, 7, 4], [4, 18, 5, 17], [16, 6, 17, 5], [8, 11, 9, 12], [14, 9, 15, 10], [10, 15, 11, 16]]
9_26;[[18, 11, 1, 12], [10, 1, 11, 2], [2, 14, 3, 13], [8, 4, 9, 3], [4, 15, 5, 16], [16, 5, 17, 6], [6, 17, 7, 18], [14, 7, 15, 8], [12, 10, 13, 9]]
9_27;[[18, 7, 1, 8], [8, 1, 9, 2], [2, 13, 3, 14], [12, 3, 13, 4], [4, 16, 5, 15], [16, 6, 17, 5], [6, 9, 7, 10], [10, 18, 11, 17], [14, 12, 15, 11]]
9_28;[[18, 10, 1, 9], [4, 1, 5, 2], [2, 7, 3, 8], [8, 3, 9, 4], [14, 6, 15, 5], [6, 16, 7, 15], [10, 13, 11, 14], [16, 11, 17, 12], [12, 17, 13, 18]]
9_29;[[18, 8, 1, 7], [6, 2, 7, 1], [2, 15, 3, 16], [10, 4, 11, 3], [4, 10, 5, 9], [14, 5, 15, 6], [8, 13, 9, 14], [16, 11, 17, 12], [12, 17, 13, 18]]
9_30;[[7, 18, 8, 1], [1, 6, 2, 7], [17, 3, 18, 2], [3, 11, 4, 10], [11, 5, 12, 4], [5, 17, 6, 16], [13, 8, 14, 9], [9, 14, 10, 15], [15, 12, 16, 13]]
9_31;[[7, 1, 8, 18], [1, 13, 2, 12], [5, 2, 6, 3], [3, 14, 4, 15], [15, 4, 16, 5], [13, 7, 14, 6], [11, 8, 12, 9], [9, 16, 10, 17], [17, 10, 18, 11]]
9_32;[[13, 1, 14, 18], [1, 13, 2, 12], [17, 2, 18, 3], [3, 8, 4, 9], [15, 5, 16, 4], [5, 11, 6, 10], [11, 7, 12, 6], [7, 15, 8, 14], [9, 16, 10, 17]]
9_33;[[3, 1, 4, 18], [1, 14, 2, 15], [13, 2, 14, 3], [9, 5, 10, 4], [5, 11, 6, 10], [17, 7, 18, 6], [7, 12, 8, 13], [15, 8, 16, 9], [11, 16, 12, 17]]
9_34;[[18, 7, 1, 8], [6, 1, 7, 2], [2, 12, 3, 11], [16, 3, 17, 4], [4, 9, 5, 10], [14, 6, 15, 5], [8, 14, 9, 13], [10, 15, 11, 16], [12, 18, 13, 17]]
9_35;[[18, 12, 1, 11], [10, 2, 11, 1], [2, 10, 3, 9], [14, 4, 15, 3], [4, 14, 5, 13], [12, 6, 13, 5], [6, 18, 7, 17], [16, 8, 17, 7], [8, 16, 9, 15]]
9_36;[[18, 6, 1, 5], [6, 2, 7, 1], [2, 8, 3, 7], [14, 4, 15, 3], [4, 16, 5, 15], [8, 13, 9, 14], [12, 9, 13, 10], [10, 18, 11, 17], [16, 12, 17, 11]]
9_37;[[18, 13, 1, 14], [12, 1, 13, 2], [2, 11, 3, 12], [6, 3, 7, 4], [4, 16, 5, 15], [14, 6, 15, 5], [10, 7, 11, 8], [8, 18, 9, 17], [16, 10, 17, 9]]
9_38;[[7, 18, 8, 1], [1, 6, 2, 7], [11, 2, 12, 3], [3, 16, 4, 17], [15, 4, 16, 5], [5, 12, 6, 13], [13, 8, 14, 9], [9, 14, 10, 15], [17, 10, 18, 11]]
9_39;[[18, 13, 1, 14], [12, 1, 13, 2], [2, 8, 3, 7], [10, 4, 11, 3], [4, 16, 5, 15], [14, 6, 15, 5], [6, 12, 7, 11], [8, 18, 9, 17], [16, 10, 17, 9]]
9_40;[[13, 18, 14, 1], [1, 6, 2, 7], [11, 3, 12, 2], [3, 16, 4, 17], [9, 4, 10, 5], [5, 15, 6, 14], [7, 12, 8, 13], [17, 9, 18, 8], [15, 10, 16, 11]]
9_41;[[13, 1, 14, 18], [1, 7, 2, 6], [11, 2, 12, 3], [3, 10, 4, 11], [15, 4, 16, 5], [5, 14, 6, 15], [7, 13, 8, 12], [17, 8, 18, 9], [9, 16, 10, 17]]
9_42;[[5, 1, 6, 18], [1, 7, 2, 6], [7, 3, 8, 2], [10, 3, 11, 4], [4, 11, 5, 12], [15, 9, 16, 8], [9, 15, 10, 14], [17, 12, 18, 13], [13, 16, 14, 17]]
9_43;[[7, 18, 8, 1], [1, 6, 2, 7], [17, 3, 18, 2], [3, 11, 4, 10], [11, 5, 12, 4], [5, 17, 6, 16], [8, 14, 9, 13], [14, 10, 15, 9], [12, 16, 13, 15]]
9_44;[[13, 1, 14, 18], [1, 8, 2, 9], [2, 12, 3, 11], [6, 3, 7, 4], [4, 18, 5, 17], [16, 6, 17, 5], [7, 12, 8, 13], [14, 9, 15, 10], [10, 15, 11, 16]]
9_45;[[5, 18, 6, 1], [1, 6, 2, 7], [7, 2, 8, 3], [12, 3, 13, 4], [4, 11, 5, 12], [8, 15, 9, 16], [14, 9, 15, 10], [10, 18, 11, 17], [16, 14, 17, 13]]
9_46;[[11, 18, 12, 1], [1, 10, 2, 11], [9, 2, 10, 3], [14, 4, 15, 3], [4, 14, 5, 13], [12, 6, 13, 5], [17, 6, 18, 7], [7, 16, 8, 17], [15, 8, 16, 9]]
9_47;[[7, 1, 8, 18], [1, 7, 2, 6], [2, 12, 3, 11], [16, 3, 17, 4], [4, 9, 5, 10], [14, 6, 15, 5], [8, 14, 9, 13], [10, 15, 11, 16], [12, 18, 13, 17]]
9_48;[[13, 1, 14, 18], [1, 13, 2, 12], [7, 2, 8, 3], [10, 4, 11, 3], [4, 16, 5, 15], [14, 6, 15, 5], [11, 6, 12, 7], [8, 18, 9, 17], [16, 10, 17, 9]]
9_49;[[13, 1, 14, 18], [1, 13, 2, 12], [2, 8, 3, 7], [10, 4, 11, 3], [4, 16, 5, 15], [14, 6, 15, 5], [6, 12, 7, 11], [8, 18, 9, 17], [16, 10, 17, 9]]
10_1;[[20, 12, 1, 11], [10, 2, 11, 1], [2, 19, 3, 20], [18, 3, 19, 4], [4, 17, 5, 18], [16, 5, 17, 6], [6, 15, 7, 16], [14, 7, 15, 8], [8, 13, 9, 14], [12, 9, 13, 10]]
