Name;PD Notation;Determinant;white_edge_graph;det_white_graph;edge_graph
10_55;"[[2;10;3;9];[4;18;5;17];[6;12;7;11];[8;2;9;1];[10;8;11;7];[12;6;13;5];[14;20;15;19];[16;14;17;13];[18;4;19;3];[20;16;1;15]]";61;[(1, 3, -1), (1, 4, -1), (1, 8, -1), (1, 8, -1), (3, 4, -1), (4, 7, -1), (4, 8, -1), (4, 8, -1), (4, 8, -1), (7, 8, -1)];61;[(0, 9, 1), (0, 9, 1), (0, 10, 1), (1, 3, -1), (1, 4, -1), (1, 8, -1), (1, 8, -1), (2, 9, 1), (2, 10, 1), (3, 4, -1), (4, 7, -1), (4, 8, -1), (4, 8, -1), (4, 8, -1), (5, 10, 1), (5, 11, 1), (6, 9, 1), (6, 9, 1), (6, 11, 1), (7, 8, -1)]
10_56;"[[2;16;3;15];[4;10;5;9];[6;12;7;11];[8;17;9;18];[10;6;11;5];[12;20;13;19];[14;2;15;1];[16;14;17;13];[18;7;19;8];[20;4;1;3]]";65;[(0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 8, 1), (0, 10, 1), (2, 8, 1), (2, 8, 1), (4, 8, 1), (4, 10, 1), (4, 10, 1)];65;[(0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 8, 1), (0, 10, 1), (1, 6, -1), (1, 7, -1), (1, 11, -1), (2, 8, 1), (2, 8, 1), (3, 5, -1), (3, 6, -1), (3, 6, -1), (3, 9, -1), (3, 11, -1), (4, 8, 1), (4, 10, 1), (4, 10, 1), (5, 6, -1), (7, 9, -1)]
10_57;"[[1;4;2;5];[3;16;4;17];[5;20;6;1];[7;13;8;12];[9;7;10;6];[11;18;12;19];[13;9;14;8];[15;2;16;3];[17;10;18;11];[19;14;20;15]]";79;[(1, 5, 1), (1, 6, 1), (1, 6, 1), (1, 7, 1), (3, 5, 1), (3, 5, 1), (3, 6, 1), (3, 7, 1), (3, 9, 1), (5, 9, 1)];79;[(0, 2, -1), (0, 8, -1), (0, 10, -1), (0, 11, -1), (1, 5, 1), (1, 6, 1), (1, 6, 1), (1, 7, 1), (2, 8, -1), (2, 11, -1), (2, 11, -1), (3, 5, 1), (3, 5, 1), (3, 6, 1), (3, 7, 1), (3, 9, 1), (4, 10, -1), (4, 11, -1), (4, 11, -1), (5, 9, 1)]
10_58;"[[2;15;3;16];[4;10;5;9];[6;13;7;14];[8;6;9;5];[10;20;11;19];[12;7;13;8];[14;18;15;17];[16;1;17;2];[18;12;19;11];[20;4;1;3]]";65;[(1, 3, -1), (1, 3, -1), (1, 5, -1), (1, 5, -1), (1, 6, -1), (3, 5, -1), (3, 5, -1), (3, 6, -1), (3, 9, -1), (5, 9, -1)];65;[(0, 4, 1), (0, 10, 1), (0, 11, 1), (1, 3, -1), (1, 3, -1), (1, 5, -1), (1, 5, -1), (1, 6, -1), (2, 7, 1), (2, 7, 1), (2, 8, 1), (2, 11, 1), (3, 5, -1), (3, 5, -1), (3, 6, -1), (3, 9, -1), (4, 8, 1), (4, 8, 1), (5, 9, -1), (7, 10, 1)]
10_59;"[[1;4;2;5];[3;17;4;16];[5;20;6;1];[7;14;8;15];[9;7;10;6];[11;19;12;18];[13;8;14;9];[15;11;16;10];[17;3;18;2];[19;13;20;12]]";75;[(1, 7, 1), (1, 7, 1), (1, 8, 1), (1, 8, 1), (1, 10, 1), (3, 8, 1), (3, 10, 1), (7, 10, 1), (8, 10, 1), (8, 10, 1)];75;[(0, 4, -1), (0, 5, -1), (0, 6, -1), (0, 11, -1), (1, 7, 1), (1, 7, 1), (1, 8, 1), (1, 8, 1), (1, 10, 1), (2, 5, -1), (2, 6, -1), (2, 9, -1), (2, 9, -1), (3, 8, 1), (3, 10, 1), (4, 6, -1), (7, 10, 1), (8, 10, 1), (8, 10, 1), (9, 11, -1)]
10_60;"[[2;15;3;16];[4;8;5;7];[6;11;7;12];[8;14;9;13];[10;17;11;18];[12;5;13;6];[14;20;15;19];[16;1;17;2];[18;9;19;10];[20;4;1;3]]";85;[(0, 2, 1), (0, 4, 1), (0, 7, 1), (0, 8, 1), (2, 7, 1), (2, 7, 1), (2, 8, 1), (2, 8, 1), (4, 8, 1), (4, 8, 1)];85;[(0, 2, 1), (0, 4, 1), (0, 7, 1), (0, 8, 1), (1, 5, -1), (1, 6, -1), (1, 11, -1), (2, 7, 1), (2, 7, 1), (2, 8, 1), (2, 8, 1), (3, 5, -1), (3, 6, -1), (3, 9, -1), (3, 10, -1), (3, 11, -1), (4, 8, 1), (4, 8, 1), (5, 9, -1), (6, 10, -1)]
10_61;"[[1;9;2;8];[3;16;4;17];[5;14;6;15];[7;1;8;20];[9;3;10;2];[11;19;12;18];[13;6;14;7];[15;4;16;5];[17;11;18;10];[19;13;20;12]]";33;[(1, 7, 1), (1, 7, 1), (1, 7, 1), (1, 7, 1), (1, 10, 1), (1, 10, 1), (1, 10, 1), (7, 10, 1), (7, 10, 1), (7, 10, 1)];33;[(0, 4, -1), (0, 5, -1), (0, 8, -1), (1, 7, 1), (1, 7, 1), (1, 7, 1), (1, 7, 1), (1, 10, 1), (1, 10, 1), (1, 10, 1), (2, 5, -1), (2, 6, -1), (3, 6, -1), (3, 11, -1), (4, 11, -1), (6, 9, -1), (7, 10, 1), (7, 10, 1), (7, 10, 1), (8, 9, -1)]
10_62;"[[2;11;3;12];[4;18;5;17];[6;13;7;14];[8;19;9;20];[10;1;11;2];[12;5;13;6];[14;7;15;8];[16;4;17;3];[18;16;19;15];[20;9;1;10]]";45;[(1, 3, -1), (1, 4, -1), (1, 11, -1), (1, 11, -1), (1, 11, -1), (1, 11, -1), (3, 4, -1), (4, 11, -1), (4, 11, -1), (4, 11, -1)];45;[(0, 7, 1), (0, 8, 1), (1, 3, -1), (1, 4, -1), (1, 11, -1), (1, 11, -1), (1, 11, -1), (1, 11, -1), (2, 6, 1), (2, 6, 1), (2, 8, 1), (3, 4, -1), (4, 11, -1), (4, 11, -1), (4, 11, -1), (5, 8, 1), (5, 9, 1), (6, 9, 1), (6, 10, 1), (7, 10, 1)]
10_63;"[[1;9;2;8];[3;19;4;18];[5;17;6;16];[7;11;8;10];[9;3;10;2];[11;15;12;14];[13;1;14;20];[15;7;16;6];[17;5;18;4];[19;13;20;12]]";57;[(0, 5, -1), (0, 6, -1), (2, 5, -1), (2, 6, -1), (2, 6, -1), (2, 6, -1), (2, 6, -1), (2, 7, -1), (5, 6, -1), (5, 7, -1)];57;[(0, 5, -1), (0, 6, -1), (1, 8, 1), (1, 8, 1), (1, 9, 1), (1, 11, 1), (1, 11, 1), (2, 5, -1), (2, 6, -1), (2, 6, -1), (2, 6, -1), (2, 6, -1), (2, 7, -1), (3, 9, 1), (3, 10, 1), (4, 8, 1), (4, 10, 1), (4, 11, 1), (5, 6, -1), (5, 7, -1)]
10_64;"[[2;11;3;12];[4;18;5;17];[6;14;7;13];[8;16;9;15];[10;1;11;2];[12;19;13;20];[14;8;15;7];[16;4;17;3];[18;6;19;5];[20;9;1;10]]";51;[(0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 5, 1), (0, 7, 1), (2, 5, 1), (2, 5, 1), (2, 5, 1), (5, 10, 1), (7, 10, 1)];51;[(0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 5, 1), (0, 7, 1), (1, 8, -1), (1, 9, -1), (1, 11, -1), (2, 5, 1), (2, 5, 1), (2, 5, 1), (3, 6, -1), (3, 9, -1), (4, 6, -1), (4, 8, -1), (5, 10, 1), (6, 11, -1), (6, 11, -1), (6, 11, -1), (7, 10, 1)]
10_65;"[[1;9;2;8];[3;16;4;17];[5;14;6;15];[7;11;8;10];[9;3;10;2];[11;18;12;19];[13;20;14;1];[15;4;16;5];[17;6;18;7];[19;12;20;13]]";63;[(1, 4, 1), (1, 5, 1), (2, 5, 1), (2, 7, 1), (2, 7, 1), (2, 7, 1), (4, 7, 1), (5, 10, 1), (7, 10, 1), (7, 10, 1)];63;[(0, 6, -1), (0, 8, -1), (0, 8, -1), (0, 8, -1), (0, 11, -1), (1, 4, 1), (1, 5, 1), (2, 5, 1), (2, 7, 1), (2, 7, 1), (2, 7, 1), (3, 6, -1), (3, 11, -1), (4, 7, 1), (5, 10, 1), (6, 8, -1), (6, 9, -1), (7, 10, 1), (7, 10, 1), (8, 9, -1)]
10_66;"[[1;11;2;10];[3;13;4;12];[5;19;6;18];[7;15;8;14];[9;5;10;4];[11;3;12;2];[13;17;14;16];[15;9;16;8];[17;1;18;20];[19;7;20;6]]";75;[(1, 9, 1), (1, 10, 1), (1, 10, 1), (1, 11, 1), (1, 11, 1), (3, 9, 1), (3, 9, 1), (3, 9, 1), (3, 10, 1), (3, 11, 1)];75;[(0, 2, -1), (0, 4, -1), (0, 6, -1), (0, 7, -1), (1, 9, 1), (1, 10, 1), (1, 10, 1), (1, 11, 1), (1, 11, 1), (2, 4, -1), (2, 7, -1), (2, 8, -1), (3, 9, 1), (3, 9, 1), (3, 9, 1), (3, 10, 1), (3, 11, 1), (4, 5, -1), (4, 6, -1), (5, 8, -1)]
10_67;"[[1;14;2;15];[3;19;4;18];[5;17;6;16];[7;11;8;10];[9;1;10;20];[11;7;12;6];[13;2;14;3];[15;13;16;12];[17;5;18;4];[19;9;20;8]]";63;[(0, 6, -1), (0, 8, -1), (2, 5, -1), (2, 6, -1), (2, 8, -1), (2, 8, -1), (2, 8, -1), (5, 6, -1), (6, 8, -1), (6, 8, -1)];63;[(0, 6, -1), (0, 8, -1), (1, 4, 1), (1, 4, 1), (1, 9, 1), (1, 11, 1), (1, 11, 1), (2, 5, -1), (2, 6, -1), (2, 8, -1), (2, 8, -1), (2, 8, -1), (3, 9, 1), (3, 10, 1), (4, 10, 1), (5, 6, -1), (6, 8, -1), (6, 8, -1), (7, 10, 1), (7, 11, 1)]
10_68;"[[1;11;2;10];[3;16;4;17];[5;14;6;15];[7;18;8;19];[9;13;10;12];[11;3;12;2];[13;20;14;1];[15;4;16;5];[17;8;18;9];[19;6;20;7]]";57;[(1, 4, 1), (1, 4, 1), (1, 4, 1), (1, 6, 1), (1, 6, 1), (1, 6, 1), (4, 6, 1), (4, 9, 1), (6, 9, 1), (6, 9, 1)];57;[(0, 7, -1), (0, 10, -1), (0, 11, -1), (1, 4, 1), (1, 4, 1), (1, 4, 1), (1, 6, 1), (1, 6, 1), (1, 6, 1), (2, 5, -1), (2, 11, -1), (3, 5, -1), (3, 10, -1), (4, 6, 1), (4, 9, 1), (5, 7, -1), (5, 8, -1), (6, 9, 1), (6, 9, 1), (7, 8, -1)]
10_69;"[[2;13;3;14];[4;17;5;18];[6;2;7;1];[8;19;9;20];[10;7;11;8];[12;3;13;4];[14;12;15;11];[16;5;17;6];[18;16;19;15];[20;9;1;10]]";87;[(0, 8, 1), (0, 9, 1), (2, 9, 1), (2, 10, 1), (2, 10, 1), (5, 9, 1), (5, 10, 1), (5, 10, 1), (8, 9, 1), (8, 10, 1)];87;[(0, 8, 1), (0, 9, 1), (1, 3, -1), (1, 4, -1), (1, 7, -1), (1, 11, -1), (1, 11, -1), (2, 9, 1), (2, 10, 1), (2, 10, 1), (3, 4, -1), (4, 6, -1), (4, 7, -1), (5, 9, 1), (5, 10, 1), (5, 10, 1), (6, 7, -1), (7, 11, -1), (8, 9, 1), (8, 10, 1)]
10_70;"[[2;15;3;16];[4;11;5;12];[6;13;7;14];[8;20;9;19];[10;7;11;8];[12;5;13;6];[14;18;15;17];[16;1;17;2];[18;10;19;9];[20;4;1;3]]";67;[(1, 5, -1), (1, 5, -1), (1, 6, -1), (3, 5, -1), (3, 5, -1), (3, 6, -1), (3, 6, -1), (3, 6, -1), (3, 10, -1), (5, 10, -1)];67;[(0, 2, 1), (0, 4, 1), (0, 7, 1), (0, 11, 1), (1, 5, -1), (1, 5, -1), (1, 6, -1), (2, 8, 1), (2, 9, 1), (2, 11, 1), (3, 5, -1), (3, 5, -1), (3, 6, -1), (3, 6, -1), (3, 6, -1), (3, 10, -1), (4, 9, 1), (4, 9, 1), (5, 10, -1), (7, 8, 1)]
10_71;"[[1;4;2;5];[3;8;4;9];[11;15;12;14];[5;13;6;12];[13;7;14;6];[9;19;10;18];[15;20;16;1];[19;16;20;17];[17;11;18;10];[7;2;8;3]]";77;[(0, 5, -1), (0, 6, -1), (2, 5, -1), (2, 6, -1), (2, 6, -1), (2, 7, -1), (2, 7, -1), (2, 8, -1), (5, 7, -1), (5, 8, -1)];77;[(0, 5, -1), (0, 6, -1), (1, 3, 1), (1, 3, 1), (1, 4, 1), (1, 9, 1), (1, 11, 1), (2, 5, -1), (2, 6, -1), (2, 6, -1), (2, 7, -1), (2, 7, -1), (2, 8, -1), (3, 10, 1), (3, 11, 1), (4, 9, 1), (4, 10, 1), (4, 10, 1), (5, 7, -1), (5, 8, -1)]
10_72;"[[2;15;3;16];[4;12;5;11];[6;14;7;13];[8;18;9;17];[10;8;11;7];[12;6;13;5];[14;20;15;19];[16;1;17;2];[18;10;19;9];[20;4;1;3]]";73;[(0, 4, 1), (0, 9, 1), (0, 11, 1), (0, 11, 1), (0, 11, 1), (2, 9, 1), (2, 9, 1), (2, 11, 1), (4, 9, 1), (4, 9, 1)];73;[(0, 4, 1), (0, 9, 1), (0, 11, 1), (0, 11, 1), (0, 11, 1), (1, 3, -1), (1, 5, -1), (1, 6, -1), (1, 7, -1), (2, 9, 1), (2, 9, 1), (2, 11, 1), (3, 5, -1), (3, 7, -1), (3, 8, -1), (3, 10, -1), (4, 9, 1), (4, 9, 1), (5, 10, -1), (6, 8, -1)]
10_73;"[[2;15;3;16];[4;7;5;8];[6;13;7;14];[8;12;9;11];[10;17;11;18];[12;5;13;6];[14;20;15;19];[16;1;17;2];[18;9;19;10];[20;4;1;3]]";83;[(0, 4, 1), (0, 7, 1), (0, 8, 1), (0, 9, 1), (2, 7, 1), (2, 8, 1), (2, 8, 1), (4, 8, 1), (4, 8, 1), (7, 9, 1)];83;[(0, 4, 1), (0, 7, 1), (0, 8, 1), (0, 9, 1), (1, 3, -1), (1, 5, -1), (1, 6, -1), (1, 6, -1), (1, 11, -1), (2, 7, 1), (2, 8, 1), (2, 8, 1), (3, 5, -1), (3, 6, -1), (3, 10, -1), (3, 11, -1), (4, 8, 1), (4, 8, 1), (5, 10, -1), (7, 9, 1)]
10_74;"[[1;12;2;13];[3;15;4;14];[5;17;6;16];[7;1;8;20];[9;19;10;18];[11;2;12;3];[13;11;14;10];[15;7;16;6];[17;5;18;4];[19;9;20;8]]";63;[(0, 7, -1), (0, 7, -1), (0, 7, -1), (0, 8, -1), (0, 8, -1), (0, 8, -1), (4, 6, -1), (4, 7, -1), (4, 8, -1), (6, 7, -1)];63;[(0, 7, -1), (0, 7, -1), (0, 7, -1), (0, 8, -1), (0, 8, -1), (0, 8, -1), (1, 9, 1), (1, 11, 1), (2, 9, 1), (2, 10, 1), (3, 5, 1), (3, 5, 1), (3, 9, 1), (3, 10, 1), (3, 11, 1), (4, 6, -1), (4, 7, -1), (4, 8, -1), (5, 9, 1), (6, 7, -1)]
10_75;"[[1;14;2;15];[3;17;4;16];[5;18;6;19];[7;5;8;4];[9;20;10;1];[11;9;12;8];[13;2;14;3];[15;13;16;12];[17;6;18;7];[19;10;20;11]]";81;[(1, 4, 1), (1, 4, 1), (1, 7, 1), (1, 7, 1), (1, 9, 1), (1, 9, 1), (1, 11, 1), (4, 11, 1), (7, 11, 1), (9, 11, 1)];81;[(0, 6, -1), (0, 8, -1), (1, 4, 1), (1, 4, 1), (1, 7, 1), (1, 7, 1), (1, 9, 1), (1, 9, 1), (1, 11, 1), (2, 8, -1), (2, 10, -1), (3, 5, -1), (3, 6, -1), (3, 10, -1), (4, 11, 1), (5, 6, -1), (6, 8, -1), (7, 11, 1), (8, 10, -1), (9, 11, 1)]
10_76;"[[2;11;3;12];[4;18;5;17];[6;20;7;19];[8;14;9;13];[10;16;11;15];[12;1;13;2];[14;10;15;9];[16;8;17;7];[18;6;19;5];[20;4;1;3]]";57;[(0, 5, 1), (0, 11, 1), (0, 11, 1), (0, 11, 1), (3, 9, 1), (3, 9, 1), (3, 9, 1), (3, 11, 1), (5, 9, 1), (5, 9, 1)];57;[(0, 5, 1), (0, 11, 1), (0, 11, 1), (0, 11, 1), (1, 6, -1), (1, 8, -1), (2, 6, -1), (2, 6, -1), (2, 7, -1), (2, 8, -1), (2, 10, -1), (3, 9, 1), (3, 9, 1), (3, 9, 1), (3, 11, 1), (4, 6, -1), (4, 7, -1), (5, 9, 1), (5, 9, 1), (6, 10, -1)]
10_77;"[[1;7;2;6];[3;14;4;15];[5;9;6;8];[7;3;8;2];[9;18;10;19];[11;20;12;1];[13;16;14;17];[15;4;16;5];[17;12;18;13];[19;10;20;11]]";63;[(1, 5, 1), (1, 6, 1), (2, 4, 1), (2, 5, 1), (2, 5, 1), (2, 6, 1), (2, 10, 1), (2, 10, 1), (4, 5, 1), (5, 10, 1)];63;[(0, 8, -1), (0, 8, -1), (0, 8, -1), (0, 11, -1), (1, 5, 1), (1, 6, 1), (2, 4, 1), (2, 5, 1), (2, 5, 1), (2, 6, 1), (2, 10, 1), (2, 10, 1), (3, 7, -1), (3, 7, -1), (3, 11, -1), (4, 5, 1), (5, 10, 1), (7, 8, -1), (7, 9, -1), (8, 9, -1)]
10_78;"[[1;7;2;6];[3;17;4;16];[5;9;6;8];[7;3;8;2];[9;13;10;12];[11;1;12;20];[13;18;14;19];[15;5;16;4];[17;14;18;15];[19;11;20;10]]";69;[(1, 4, 1), (1, 4, 1), (1, 9, 1), (1, 9, 1), (1, 10, 1), (1, 11, 1), (1, 11, 1), (4, 9, 1), (4, 10, 1), (4, 11, 1)];69;[(0, 5, -1), (0, 6, -1), (1, 4, 1), (1, 4, 1), (1, 9, 1), (1, 9, 1), (1, 10, 1), (1, 11, 1), (1, 11, 1), (2, 6, -1), (2, 7, -1), (3, 5, -1), (3, 7, -1), (3, 7, -1), (3, 8, -1), (4, 9, 1), (4, 10, 1), (4, 11, 1), (5, 6, -1), (5, 8, -1)]
10_79;"[[6;2;7;1];[8;4;9;3];[12;6;13;5];[18;13;19;14];[16;9;17;10];[10;17;11;18];[20;15;1;16];[14;19;15;20];[2;8;3;7];[4;12;5;11]]";61;[(0, 4, 1), (0, 5, 1), (2, 5, 1), (2, 6, 1), (2, 6, 1), (2, 7, 1), (4, 6, 1), (4, 6, 1), (4, 6, 1), (4, 7, 1)];61;[(0, 4, 1), (0, 5, 1), (1, 8, -1), (1, 9, -1), (1, 11, -1), (1, 11, -1), (1, 11, -1), (2, 5, 1), (2, 6, 1), (2, 6, 1), (2, 7, 1), (3, 9, -1), (3, 10, -1), (3, 11, -1), (3, 11, -1), (4, 6, 1), (4, 6, 1), (4, 6, 1), (4, 7, 1), (8, 10, -1)]
10_80;"[[1;17;2;16];[3;11;4;10];[5;19;6;18];[7;13;8;12];[9;5;10;4];[11;15;12;14];[13;9;14;8];[15;1;16;20];[17;3;18;2];[19;7;20;6]]";71;[(1, 9, 1), (1, 9, 1), (1, 10, 1), (1, 11, 1), (1, 11, 1), (3, 9, 1), (3, 9, 1), (3, 9, 1), (3, 10, 1), (3, 11, 1)];71;[(0, 4, -1), (0, 5, -1), (0, 6, -1), (0, 7, -1), (1, 9, 1), (1, 9, 1), (1, 10, 1), (1, 11, 1), (1, 11, 1), (2, 5, -1), (2, 5, -1), (2, 7, -1), (2, 8, -1), (3, 9, 1), (3, 9, 1), (3, 9, 1), (3, 10, 1), (3, 11, 1), (4, 8, -1), (5, 6, -1)]
10_81;"[[4;2;5;1];[8;4;9;3];[12;6;13;5];[16;9;17;10];[20;17;1;18];[18;13;19;14];[14;19;15;20];[10;15;11;16];[6;12;7;11];[2;8;3;7]]";85;[(0, 2, 1), (0, 4, 1), (0, 4, 1), (0, 5, 1), (2, 5, 1), (2, 6, 1), (2, 7, 1), (4, 6, 1), (4, 7, 1), (4, 7, 1)];85;[(0, 2, 1), (0, 4, 1), (0, 4, 1), (0, 5, 1), (1, 8, -1), (1, 8, -1), (1, 10, -1), (1, 11, -1), (1, 11, -1), (2, 5, 1), (2, 6, 1), (2, 7, 1), (3, 8, -1), (3, 9, -1), (3, 10, -1), (3, 11, -1), (4, 6, 1), (4, 7, 1), (4, 7, 1), (8, 9, -1)]
10_82;"[[1;12;2;13];[3;15;4;14];[5;19;6;18];[7;1;8;20];[9;2;10;3];[11;16;12;17];[13;9;14;8];[15;10;16;11];[17;5;18;4];[19;7;20;6]]";63;[(1, 6, 1), (1, 7, 1), (1, 11, 1), (1, 11, 1), (1, 11, 1), (1, 11, 1), (4, 6, 1), (4, 7, 1), (4, 11, 1), (6, 11, 1)];63;[(0, 8, -1), (0, 9, -1), (1, 6, 1), (1, 7, 1), (1, 11, 1), (1, 11, 1), (1, 11, 1), (1, 11, 1), (2, 9, -1), (2, 10, -1), (3, 5, -1), (3, 8, -1), (3, 10, -1), (3, 10, -1), (4, 6, 1), (4, 7, 1), (4, 11, 1), (5, 8, -1), (5, 10, -1), (6, 11, 1)]
10_83;"[[2;7;3;8];[4;10;5;9];[6;1;7;2];[8;16;9;15];[10;17;11;18];[12;19;13;20];[14;6;15;5];[16;3;17;4];[18;13;19;14];[20;11;1;12]]";83;[(0, 5, 1), (0, 5, 1), (0, 5, 1), (0, 6, 1), (3, 6, 1), (3, 9, 1), (3, 10, 1), (5, 9, 1), (5, 10, 1), (6, 10, 1)];83;[(0, 5, 1), (0, 5, 1), (0, 5, 1), (0, 6, 1), (1, 8, -1), (1, 11, -1), (2, 4, -1), (2, 4, -1), (2, 7, -1), (2, 8, -1), (2, 11, -1), (3, 6, 1), (3, 9, 1), (3, 10, 1), (4, 7, -1), (4, 8, -1), (5, 9, 1), (5, 10, 1), (6, 10, 1), (7, 8, -1)]
10_84;"[[2;10;3;9];[4;2;5;1];[6;13;7;14];[8;12;9;11];[10;4;11;3];[12;17;13;18];[14;20;15;19];[16;7;17;8];[18;6;19;5];[20;16;1;15]]";87;[(1, 3, -1), (1, 4, -1), (1, 8, -1), (3, 6, -1), (3, 8, -1), (4, 6, -1), (6, 8, -1), (6, 8, -1), (6, 9, -1), (8, 9, -1)];87;[(0, 2, 1), (0, 5, 1), (0, 10, 1), (0, 10, 1), (1, 3, -1), (1, 4, -1), (1, 8, -1), (2, 5, 1), (2, 10, 1), (3, 6, -1), (3, 8, -1), (4, 6, -1), (5, 11, 1), (6, 8, -1), (6, 8, -1), (6, 9, -1), (7, 10, 1), (7, 11, 1), (7, 11, 1), (8, 9, -1)]
10_85;"[[2;7;3;8];[4;10;5;9];[6;1;7;2];[8;16;9;15];[10;17;11;18];[12;19;13;20];[14;6;15;5];[16;3;17;4];[18;11;19;12];[20;13;1;14]]";57;[(1, 4, -1), (1, 4, -1), (1, 8, -1), (1, 9, -1), (1, 9, -1), (1, 9, -1), (1, 9, -1), (4, 8, -1), (4, 9, -1), (8, 9, -1)];57;[(0, 5, 1), (0, 6, 1), (1, 4, -1), (1, 4, -1), (1, 8, -1), (1, 9, -1), (1, 9, -1), (1, 9, -1), (1, 9, -1), (2, 6, 1), (2, 7, 1), (3, 7, 1), (3, 10, 1), (3, 11, 1), (4, 8, -1), (4, 9, -1), (5, 10, 1), (5, 11, 1), (7, 11, 1), (8, 9, -1)]
10_86;"[[2;7;3;8];[4;10;5;9];[6;1;7;2];[8;15;9;16];[10;18;11;17];[12;20;13;19];[14;4;15;3];[16;5;17;6];[18;14;19;13];[20;12;1;11]]";85;[(1, 5, -1), (1, 6, -1), (1, 6, -1), (1, 6, -1), (1, 10, -1), (1, 10, -1), (3, 5, -1), (3, 6, -1), (3, 10, -1), (5, 10, -1)];85;[(0, 8, 1), (0, 11, 1), (1, 5, -1), (1, 6, -1), (1, 6, -1), (1, 6, -1), (1, 10, -1), (1, 10, -1), (2, 4, 1), (2, 7, 1), (2, 8, 1), (2, 11, 1), (3, 5, -1), (3, 6, -1), (3, 10, -1), (4, 7, 1), (4, 8, 1), (5, 10, -1), (7, 9, 1), (8, 9, 1)]
10_87;"[[2;11;3;12];[4;14;5;13];[6;1;7;2];[8;16;9;15];[10;8;11;7];[12;19;13;20];[14;18;15;17];[16;10;17;9];[18;4;19;3];[20;5;1;6]]";81;[(1, 3, -1), (1, 5, -1), (1, 10, -1), (3, 5, -1), (3, 5, -1), (3, 7, -1), (3, 10, -1), (3, 10, -1), (5, 7, -1), (5, 10, -1)];81;[(0, 2, 1), (0, 6, 1), (0, 8, 1), (1, 3, -1), (1, 5, -1), (1, 10, -1), (2, 6, 1), (2, 11, 1), (3, 5, -1), (3, 5, -1), (3, 7, -1), (3, 10, -1), (3, 10, -1), (4, 9, 1), (4, 11, 1), (4, 11, 1), (5, 7, -1), (5, 10, -1), (6, 9, 1), (8, 9, 1)]
10_88;"[[4;2;5;1];[20;14;1;13];[8;3;9;4];[2;9;3;10];[14;7;15;8];[18;15;19;16];[12;6;13;5];[10;18;11;17];[16;12;17;11];[6;19;7;20]]";101;[(1, 5, -1), (1, 6, -1), (1, 9, -1), (3, 5, -1), (3, 6, -1), (3, 6, -1), (3, 7, -1), (3, 9, -1), (5, 9, -1), (7, 9, -1)];101;[(0, 2, 1), (0, 4, 1), (0, 10, 1), (1, 5, -1), (1, 6, -1), (1, 9, -1), (2, 4, 1), (2, 8, 1), (2, 8, 1), (2, 11, 1), (3, 5, -1), (3, 6, -1), (3, 6, -1), (3, 7, -1), (3, 9, -1), (4, 10, 1), (4, 11, 1), (5, 9, -1), (7, 9, -1), (8, 10, 1)]
10_89;"[[2;7;3;8];[4;13;5;14];[6;12;7;11];[8;1;9;2];[10;15;11;16];[12;19;13;20];[14;18;15;17];[16;9;17;10];[18;5;19;6];[20;4;1;3]]";99;[(0, 2, 1), (0, 6, 1), (0, 8, 1), (2, 6, 1), (2, 7, 1), (4, 6, 1), (4, 7, 1), (4, 7, 1), (4, 8, 1), (4, 8, 1)];99;[(0, 2, 1), (0, 6, 1), (0, 8, 1), (1, 3, -1), (1, 5, -1), (1, 9, -1), (2, 6, 1), (2, 7, 1), (3, 5, -1), (3, 9, -1), (3, 10, -1), (3, 11, -1), (4, 6, 1), (4, 7, 1), (4, 7, 1), (4, 8, 1), (4, 8, 1), (5, 9, -1), (5, 11, -1), (9, 10, -1)]
10_90;"[[2;9;3;10];[4;13;5;14];[6;20;7;19];[8;16;9;15];[10;3;11;4];[12;18;13;17];[14;1;15;2];[16;12;17;11];[18;8;19;7];[20;6;1;5]]";77;[(1, 5, -1), (1, 5, -1), (1, 5, -1), (1, 6, -1), (1, 10, -1), (3, 5, -1), (3, 6, -1), (5, 10, -1), (6, 10, -1), (6, 10, -1)];77;[(0, 4, 1), (0, 11, 1), (1, 5, -1), (1, 5, -1), (1, 5, -1), (1, 6, -1), (1, 10, -1), (2, 8, 1), (2, 8, 1), (2, 9, 1), (2, 11, 1), (3, 5, -1), (3, 6, -1), (4, 8, 1), (4, 9, 1), (5, 10, -1), (6, 10, -1), (6, 10, -1), (7, 8, 1), (7, 9, 1)]
10_91;"[[6;2;7;1];[20;6;1;5];[16;9;17;10];[10;3;11;4];[2;18;3;17];[14;7;15;8];[8;15;9;16];[12;20;13;19];[18;12;19;11];[4;13;5;14]]";73;[(0, 4, 1), (0, 4, 1), (0, 7, 1), (0, 9, 1), (0, 9, 1), (3, 7, 1), (3, 8, 1), (4, 8, 1), (4, 9, 1), (7, 9, 1)];73;[(0, 4, 1), (0, 4, 1), (0, 7, 1), (0, 9, 1), (0, 9, 1), (1, 5, -1), (1, 6, -1), (2, 6, -1), (2, 10, -1), (2, 11, -1), (2, 11, -1), (2, 11, -1), (3, 7, 1), (3, 8, 1), (4, 8, 1), (4, 9, 1), (5, 10, -1), (5, 11, -1), (6, 11, -1), (7, 9, 1)]
