name,seifert_matrix,det_seifert_matrix,laplacian,det_laplacian,alexander_polynomial
Name,Seifert Matrix,Error,Laplacian,Laplacian Determinant,Alexander
11a_58,"[[ -1, 0, 0, 0, 0, 0], [ -1, -1, 0, 0, 0, 0], [ 0, 0, 1, 0, 0, 1], [ 0, 0, 0, -1, 0, 0], [ 1, 1, 1, 1, 2, 1], [ 0, 0, 0, 0, 0, 1]]",-2,,,2-9*t+18*t^2-23*t^3+18*t^4-9*t^5+2*t^6
11a_59,"[[ -1, 0, 0, 0], [ -1, -1, 0, 0], [ -1, -1, 3, -1], [ 0, 0, 0, -1]]",-3,,,3-11*t+15*t^2-11*t^3+3*t^4
11a_60,"[[ 1, 0, 0, 0, 0, 0], [ 1, -2, -2, -1, -2, -2], [ 1, -1, -2, -1, -1, -2], [ 1, -1, -1, -2, -1, -1], [ 1, -1, -2, -1, -2, -2], [ 1, -1, -1, -1, -1, -2]]",-3,,,3-12*t+18*t^2-19*t^3+18*t^4-12*t^5+3*t^6
11a_61,"[[ 1, 0, 0, 0], [ 1, -2, 2, -1], [ -1, 1, -3, 1], [ 1, -1, 1, -2]]",-6,,,6-26*t+39*t^2-26*t^3+6*t^4
11a_62,"[[ -1, -1, 0, 0, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0, 0, 0], [ -1, 0, 1, 0, 0, 1, 0, 0], [ -1, 0, 1, 1, 0, 1, 1, 0], [ -1, 0, 1, 1, 1, 1, 1, 1], [ 0, 0, 0, 0, 0, 1, 0, 0], [ -1, 0, 1, 0, 0, 1, 1, 0], [ -1, 0, 1, 1, 0, 1, 1, 1]]",-1,,,1-5*t+8*t^2-9*t^3+9*t^4-9*t^5+8*t^6-5*t^7+t^8
11a_63,"[[ -1, -1, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0], [ -1, 0, 1, 0, 0, 1], [ 1, 0, -1, 2, 0, -1], [ -1, 0, 1, -1, 1, 1], [ 0, 0, 0, 0, 0, 1]]",-2,,,2-11*t+21*t^2-25*t^3+21*t^4-11*t^5+2*t^6
11a_64,"[[ -1, -1, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0], [ 0, 0, 1, 0, 0, 1], [ 0, 0, 0, 1, 0, 0], [ 1, 0, 1, -1, 2, 1], [ 0, 0, 0, 0, 0, 1]]",-2,,,2-11*t+22*t^2-27*t^3+22*t^4-11*t^5+2*t^6
11a_65,"[[ -1, -1, 0, 0], [ 0, 1, 0, 0], [ -1, 0, 3, 1], [ 0, 0, 0, 1]]",-3,,,3-15*t+23*t^2-15*t^3+3*t^4
11a_66,"[[ -1, -1, 0, 0, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, 0, 0, 0, 0, 0], [ -1, 0, -1, 1, 0, -1, 1, 0], [ -1, 0, -1, 1, 1, -1, 1, 1], [ -1, -1, -1, 0, 0, -1, 0, 0], [ 0, 0, -1, 0, 0, -1, 1, 0], [ -1, 0, -1, 1, 0, -1, 1, 1]]",-1,,,1-6*t+15*t^2-24*t^3+27*t^4-24*t^5+15*t^6-6*t^7+t^8
11a_67,"[[ -1, -1, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0], [ -1, -1, -1, 0, 0, 0], [ -1, -1, -1, -1, 0, 0], [ 0, 0, -1, -1, 1, 0], [ 1, 0, 1, 1, -1, 2]]",-2,,,2-12*t+29*t^2-39*t^3+29*t^4-12*t^5+2*t^6
11a_68,"[[ -1, -1, 0, 0, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, -1, 0, 0, -1, 0], [ -1, -1, 0, -1, 0, 0, 0, 0], [ -1, 0, -1, -1, 1, -1, -1, 1], [ -1, -1, -1, -1, 0, -1, -1, 0], [ -1, -1, 0, -1, 0, 0, -1, 0], [ 0, 0, -1, -1, 0, -1, -1, 1]]",-1,,,1-6*t+14*t^2-20*t^3+21*t^4-20*t^5+14*t^6-6*t^7+t^8
11a_69,"[[ -1, -1, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0], [ 1, 1, -2, 1, 0, 0], [ -1, -1, 0, -1, 0, 0], [ -1, 0, 1, -1, 1, 1], [ 0, 0, 1, -1, 0, 1]]",-2,,,2-13*t+33*t^2-45*t^3+33*t^4-13*t^5+2*t^6
11a_70,"[[ 1, 0, 0, 0, 0, 0], [ -1, -1, 0, -1, 1, 1], [ 0, 0, -1, 1, -1, -1], [ 0, 0, 0, 1, 0, 0], [ 1, 0, 0, 1, -2, -2], [ 1, 0, 0, 1, -1, -2]]",2,,,2-14*t+36*t^2-47*t^3+36*t^4-14*t^5+2*t^6
11a_71,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ 0, -1, 0, 0, -1, -1, 0, -1], [ -1, 0, -1, 0, 0, 0, 0, 0], [ -1, 0, -1, 1, 1, 0, 1, 0], [ 0, 0, 0, 0, 1, 0, 0, 0], [ 0, 0, 0, 0, -1, -1, -1, -1], [ 0, 0, 0, 0, 1, 0, 1, 0], [ 0, 0, 0, 0, -1, 0, -1, -1]]",-1,,,1-6*t+18*t^2-34*t^3+41*t^4-34*t^5+18*t^6-6*t^7+t^8
11a_72,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ 0, -1, 0, 0, 0, -1, 0, 0], [ -1, 0, -1, 0, 0, 0, 0, 0], [ -1, 0, -1, 1, 1, 0, 1, 1], [ 0, 0, 0, 0, 1, 1, 1, 0], [ 0, 0, 0, 0, 0, -1, 0, 0], [ 0, 1, 0, 0, 0, 1, 1, 0], [ 0, 0, 0, 0, 1, 1, 1, 1]]",1,,,1-6*t+18*t^2-32*t^3+39*t^4-32*t^5+18*t^6-6*t^7+t^8
11a_73,"[[ -1, 0, -1, -1, -1, 0, -1, 0], [ 0, 1, 0, 0, 0, 0, -1, 0], [ 0, 0, -1, -1, 0, 0, 0, 0], [ 0, 0, 0, 1, 0, 0, 0, 0], [ 0, 0, -1, -1, -1, 0, 0, 0], [ 0, 1, -1, 0, -1, 1, -1, 1], [ 0, 0, -1, -1, -1, 0, -1, 0], [ 0, 1, 0, 0, -1, 0, -1, 1]]",1,,,1-7*t+21*t^2-37*t^3+45*t^4-37*t^5+21*t^6-7*t^7+t^8
11a_74,"[[ 1, 0, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, 0, -1, -1, -1, -1], [ -1, 0, -1, 0, 0, -1, -1, -1], [ 0, 0, 0, 1, 0, 0, 0, 0], [ -1, 0, -1, 0, -1, -1, -1, -1], [ -1, 0, 0, -1, 0, -1, -1, -1], [ -1, 0, 0, -1, 0, 0, -1, 0], [ -1, 0, 0, -1, 0, 0, -1, -1]]",1,,,1-5*t+10*t^2-13*t^3+15*t^4-13*t^5+10*t^6-5*t^7+t^8
11a_75,"[[ 1, 0, 0, 0, 0, 0], [ -1, -1, -1, 0, -1, 1], [ -1, 0, -1, 0, 0, 1], [ 0, 0, 0, 1, 0, 0], [ -1, 0, -1, 0, -1, 1], [ 1, 0, 0, 1, 0, -2]]",2,,,2-10*t+19*t^2-21*t^3+19*t^4-10*t^5+2*t^6
11a_76,"[[ 1, 0, 0, 0, 0, 0, 0, 0], [ -1, -1, 0, 0, -1, 0, -1, -1], [ 0, 0, 1, 0, 0, 0, 0, 0], [ 0, 0, 1, 1, 0, 1, 0, 0], [ -1, 0, -1, -1, -1, -1, -1, -1], [ 0, 0, 1, 0, 0, 1, 0, 0], [ -1, 0, 0, -1, 0, 0, -1, 0], [ -1, 0, 0, -1, 0, 0, -1, -1]]",1,,,1-6*t+17*t^2-30*t^3+37*t^4-30*t^5+17*t^6-6*t^7+t^8
11a_77,"[[ 1, 0, 0, 0, 0, 0], [ -1, -1, 0, 0, -1, 0], [ 0, 0, 1, 0, 0, 0], [ 0, 0, 0, 1, 0, 0], [ -1, 0, -1, 0, -1, 1], [ 0, 0, -1, 1, 0, 2]]",2,,,2-12*t+31*t^2-41*t^3+31*t^4-12*t^5+2*t^6
11a_78,"[[ 1, 0, 0, 0, 0, 0], [ -1, -1, 0, 0, -1, 1], [ 0, 0, 1, 0, 0, 0], [ 0, 0, 0, -1, 0, -1], [ -1, 0, -1, 0, -1, 1], [ 1, 0, 0, 0, 0, -2]]",2,,,2-12*t+29*t^2-37*t^3+29*t^4-12*t^5+2*t^6
11a_79,"[[ -1, 0, -1, -1, 0, 0, -1, 0], [ 0, 1, 0, 0, 0, 0, -1, 0], [ 0, 0, -1, -1, 0, 0, 0, 0], [ 0, 0, 0, 1, 0, 0, 0, 0], [ 0, 1, 0, 0, 1, 0, -1, 0], [ 0, 1, -1, 0, 1, 1, -1, 1], [ 0, 0, -1, -1, 0, 0, -1, 0], [ 0, 1, -1, 0, 1, 0, -1, 1]]",-1,,,1-6*t+17*t^2-30*t^3+35*t^4-30*t^5+17*t^6-6*t^7+t^8
11a_80,"[[ 1, 0, 0, 0, 0, 0, 0, 0], [ -1, -1, 0, -1, -1, 0, -1, 0], [ 0, 0, 1, 0, 0, 0, 0, 0], [ -1, 0, 0, -1, 0, 0, 0, 0], [ -1, 0, -1, -1, -1, -1, -1, -1], [ 0, 0, 1, 0, 0, 1, 0, 0], [ -1, 0, 0, -1, 0, -1, -1, -1], [ 0, 0, 1, 0, 0, 1, 0, 1]]",1,,,1-6*t+16*t^2-28*t^3+35*t^4-28*t^5+16*t^6-6*t^7+t^8
11a_81,"[[ -1, 0, -1, -1, -1, 0, -1, -1], [ 0, 1, 0, 0, 0, 0, -1, 0], [ 0, 0, -1, -1, 0, 0, 0, 0], [ 0, 0, 0, 1, 0, 0, 0, 0], [ 0, 0, -1, -1, -1, 0, 0, -1], [ 0, 1, 0, 0, -1, 1, -1, -1], [ 0, 0, -1, -1, -1, 0, -1, -1], [ 0, 0, -1, -1, 0, 0, 0, -1]]",-1,,,1-6*t+16*t^2-26*t^3+29*t^4-26*t^5+16*t^6-6*t^7+t^8
11a_82,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ 0, -1, 0, 0, -1, -1, -1, 0], [ -1, 0, -1, 0, 0, 0, 0, 0], [ -1, 0, -1, 1, 1, 1, 1, 1], [ 0, 0, 0, 0, 1, 0, 0, 0], [ 0, 0, 0, 0, 1, 1, 1, 0], [ 0, 0, 0, 0, 1, 0, 1, 0], [ 0, 0, 0, 0, 1, 1, 1, 1]]",-1,,,1-5*t+12*t^2-19*t^3+21*t^4-19*t^5+12*t^6-5*t^7+t^8
11a_83,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ 0, -1, 0, 0, 0, -1, 0, 0], [ -1, 0, -1, 0, 0, 0, 0, 0], [ -1, 0, -1, 1, 0, 0, 0, 1], [ 0, -1, 0, 0, -1, -1, 0, 0], [ 0, 0, 0, 0, 0, -1, 0, 0], [ 0, -1, 0, 0, -1, -1, -1, 0], [ 0, 1, 0, 0, 0, 1, 0, 1]]",1,,,1-5*t+14*t^2-23*t^3+27*t^4-23*t^5+14*t^6-5*t^7+t^8
11a_84,"[[ -1, 0, 0, 0, 0, 0], [ 0, -1, 0, 0, 1, 0], [ -1, 0, -1, 0, 0, 0], [ -1, 0, -1, 1, -1, 1], [ 0, 0, 0, 0, 2, 0], [ 0, 0, 0, 0, -1, 1]]",-2,,,2-10*t+23*t^2-31*t^3+23*t^4-10*t^5+2*t^6
11a_85,"[[ -1, 0, 0, 0, 0, 0], [ -1, -1, 0, 0, 0, 0], [ -1, -1, 1, 0, 0, 1], [ 0, 0, 0, -2, 0, 0], [ 0, 0, 0, -1, -1, 0], [ 0, 0, 0, -1, 0, 1]]",2,,,2-10*t+25*t^2-33*t^3+25*t^4-10*t^5+2*t^6
11a_86,"[[ -1, -1, -1, -1, -1, -1, 0, 0], [ 0, -1, -1, -1, 0, -1, 0, 0], [ 0, 0, -1, -1, 0, 0, 0, 0], [ 0, 0, 0, 1, 0, 0, 0, 0], [ 0, -1, -1, -1, -1, -1, 0, 0], [ 0, 0, -1, -1, 0, -1, 0, 0], [ 0, -1, -1, 0, -1, -1, 1, 1], [ 0, 0, 0, 0, 0, 0, 0, 1]]",-1,,,1-5*t+12*t^2-18*t^3+19*t^4-18*t^5+12*t^6-5*t^7+t^8
11a_87,"[[ -1, 1, -1, -1, 0, 0], [ 0, -2, 1, 1, 0, 0], [ 0, 0, -1, -1, 0, 0], [ 0, 0, 0, 1, 0, 0], [ 0, 1, -1, 0, 1, 1], [ 0, 0, 0, 0, 0, 1]]",-2,,,2-11*t+28*t^2-39*t^3+28*t^4-11*t^5+2*t^6
11a_88,"[[ 1, 0, 0, 0, 0, 0, 0, 0], [ -1, -1, 0, 0, -1, -1, 0, -1], [ 0, 0, 1, 0, 0, 0, 0, 0], [ 0, 0, 1, 1, 0, 0, 1, 0], [ -1, 0, -1, -1, -1, -1, -1, -1], [ -1, 0, -1, -1, 0, -1, -1, 0], [ 0, 0, 1, 0, 0, 0, 1, 0], [ -1, 0, -1, -1, 0, -1, -1, -1]]",1,,,1-5*t+12*t^2-20*t^3+25*t^4-20*t^5+12*t^6-5*t^7+t^8
11a_89,"[[ 1, 0, 0, 0, 0, 0], [ -1, -1, 0, 0, 0, 1], [ 0, 0, -1, 0, -1, -1], [ 0, 0, 0, 1, 0, 0], [ 0, 0, 0, -1, -1, -1], [ 1, 0, 0, 0, 0, -2]]",2,,,2-12*t+28*t^2-35*t^3+28*t^4-12*t^5+2*t^6
11a_90,"[[ 1, 0, 0, 0, 0, 0], [ -1, -1, 0, 0, 0, 1], [ 0, 0, 1, 0, 0, 0], [ 0, 0, 1, 1, 1, 0], [ 0, 0, 1, 0, 1, 0], [ 1, 0, 1, 1, 1, -2]]",2,,,2-10*t+20*t^2-23*t^3+20*t^4-10*t^5+2*t^6
11a_91,"[[ 1, 0, 0, 0, 0, 0], [ -1, -1, 0, 0, 0, 1], [ 0, 0, -1, 0, 0, -1], [ 0, 0, -1, 1, 1, -1], [ 0, 0, 0, 0, 1, 0], [ 1, 0, 0, 0, 0, -2]]",-2,,,2-12*t+30*t^2-41*t^3+30*t^4-12*t^5+2*t^6
11a_92,"[[ -1, 0, -1, -1, 0, 0, 0, -1], [ 0, 1, 0, 0, 1, 0, 1, -1], [ 0, 0, -1, -1, 0, 0, 0, 0], [ 0, 0, 0, 1, 0, 0, 0, 0], [ 0, 0, 0, 0, 1, 0, 1, 0], [ 0, 1, 0, 0, 1, 1, 1, -1], [ 0, 0, 0, 0, 0, 0, 1, 0], [ 0, 0, -1, -1, 0, 0, 0, -1]]",-1,,,1-5*t+12*t^2-21*t^3+25*t^4-21*t^5+12*t^6-5*t^7+t^8
11a_93,"[[ -1, -1, -1, 0, 0, -1], [ 0, -1, -1, 0, 0, 0], [ 0, 0, 1, 0, 0, 0], [ 0, 0, 0, 2, 1, 1], [ 0, 0, 0, 0, 1, 0], [ 0, -1, -1, 0, 0, -1]]",-2,,,2-10*t+21*t^2-27*t^3+21*t^4-10*t^5+2*t^6
11a_94,"[[ -1, 0, -1, 0, 0, 0], [ 0, -1, 0, 0, -1, 0], [ 0, 0, -2, 0, 0, 0], [ 0, 0, 0, -1, -1, 0], [ 0, 0, 1, 0, -2, 0], [ 0, 0, 0, -1, -1, -1]]",4,,,4-13*t+23*t^2-27*t^3+23*t^4-13*t^5+4*t^6
11a_95,"[[ -1, 0, -1, 0], [ 0, -1, 0, 1], [ 0, 0, -2, 0], [ 0, 0, -1, -3]]",6,,,6-18*t+25*t^2-18*t^3+6*t^4
11a_96,"[[ 1, 0, 0, 0, 0, 0], [ -1, -1, 0, 0, -1, 0], [ 0, 0, 1, 0, 0, 0], [ 0, 0, 0, 1, 0, 0], [ -1, 0, 0, -1, -1, 0], [ 0, 0, 1, -1, 0, -1]]",-1,,,1-9*t+29*t^2-43*t^3+29*t^4-9*t^5+t^6
11a_97,"[[ 1, 0, 0, 0, 0, 0], [ -1, -1, -1, -1, 0, -1], [ -1, 0, -1, -1, 1, -1], [ -1, 0, 0, -1, 1, 0], [ 0, 0, 0, 0, 2, 0], [ -1, 0, 0, -1, 1, -1]]",2,,,2-9*t+16*t^2-17*t^3+16*t^4-9*t^5+2*t^6
11a_98,"[[ 1, 0, 0, 0], [ -1, -1, 0, 1], [ 0, 0, 2, 0], [ 1, 0, -1, -2]]",4,,,4-19*t+31*t^2-19*t^3+4*t^4
11a_99,"[[ -1, -1, -1, -1, -1, 0, -1, 0], [ 0, -1, -1, -1, -1, 0, 0, 0], [ 0, 0, -1, -1, 0, 0, 0, 0], [ 0, 0, 0, 1, 0, 0, 0, 0], [ 0, 0, -1, -1, -1, 0, 0, 0], [ 0, -1, -1, 0, -1, 1, -1, 1], [ 0, -1, -1, -1, -1, 0, -1, 0], [ 0, -1, 0, 0, 0, 0, -1, 1]]",-1,,,1-6*t+17*t^2-28*t^3+31*t^4-28*t^5+17*t^6-6*t^7+t^8
11a_100,"[[ 1, 0, 0, 0, 0, 0], [ -1, -1, 0, 0, 1, 1], [ 0, 0, -1, 0, 0, -1], [ 0, 0, 0, -1, -1, 0], [ 1, 0, 0, 0, -2, -1], [ 1, 0, 0, 0, -1, -2]]",-3,,,3-15*t+32*t^2-41*t^3+32*t^4-15*t^5+3*t^6
11a_101,"[[ -1, 0, -1, -1, 0, -1], [ 0, 1, 0, -1, 0, -1], [ 0, 0, -2, -1, 0, -1], [ 0, 0, -2, -2, 0, -1], [ 0, 1, -1, -1, 1, -1], [ 0, 0, -1, -1, 0, -2]]",3,,,3-16*t+39*t^2-51*t^3+39*t^4-16*t^5+3*t^6
11a_102,"[[ 1, 0, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0], [ 1, 0, -2, 1, 1, 1], [ -1, -1, 0, -1, -1, -1], [ -1, -1, 0, 0, -1, 0], [ -1, -1, 0, 0, -1, -1]]",2,,,2-11*t+23*t^2-27*t^3+23*t^4-11*t^5+2*t^6
11a_103,"[[ 1, 0, 0, 0], [ 0, 1, 0, 0], [ 1, 0, -2, -1], [ 1, 1, 0, -2]]",4,,,4-20*t+33*t^2-20*t^3+4*t^4
11a_104,"[[ -1, 0, -1, 0, 0, 1], [ 0, -1, 0, 0, 0, -1], [ 0, 0, 1, 0, 0, 0], [ -1, 0, 0, 1, 1, 0], [ 0, 0, 0, 0, 1, 0], [ 0, 0, 1, 0, 0, -2]]",-2,,,2-12*t+29*t^2-39*t^3+29*t^4-12*t^5+2*t^6
11a_105,"[[ -1, 0, -1, 0, 0, -1], [ 0, -1, -1, 0, 0, 0], [ 0, 0, -2, 0, 0, -1], [ 0, -1, -1, -1, 0, 0], [ 0, 0, 0, 0, 1, -1], [ 0, 0, -1, 0, 0, -2]]",-3,,,3-13*t+24*t^2-29*t^3+24*t^4-13*t^5+3*t^6
11a_106,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ 0, 1, 0, 0, 1, 0, 0, 0], [ -1, 0, -1, 0, 0, 0, 0, 0], [ -1, 1, -1, 1, 1, 1, 1, 0], [ 0, 0, 0, 0, 1, 0, 0, 0], [ 0, 1, 0, 0, 1, 1, 0, 0], [ 0, 0, 0, 0, 0, 0, -1, 0], [ 0, 0, 0, 0, 0, 0, -1, -1]]",1,,,1-5*t+12*t^2-18*t^3+21*t^4-18*t^5+12*t^6-5*t^7+t^8
11a_107,"[[ -1, 0, 0, 0, 0, 0], [ 0, 2, 0, 0, 0, 0], [ -1, 0, -1, 0, 0, 0], [ -1, -1, -1, 1, 1, 0], [ 0, 0, 0, 0, -1, 0], [ 0, 0, 0, 0, -1, -1]]",2,,,2-11*t+26*t^2-33*t^3+26*t^4-11*t^5+2*t^6
11a_108,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ 0, -1, 0, 0, 0, -1, 0, 0], [ -1, 0, -1, 0, 0, 0, 0, 0], [ -1, 0, -1, 1, 0, 1, 1, 0], [ -1, 0, -1, 1, 1, 1, 1, 1], [ 0, 0, 0, 0, 0, 1, 0, 0], [ 0, 0, 0, 0, 0, 1, 1, 0], [ -1, 0, -1, 1, 0, 1, 1, 1]]",-1,,,1-5*t+12*t^2-20*t^3+23*t^4-20*t^5+12*t^6-5*t^7+t^8
11a_109,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ 0, -1, 0, 0, 0, -1, 0, 0], [ -1, 0, -1, 0, 0, 0, 0, 0], [ -1, 0, -1, 1, 0, 0, 1, 0], [ -1, 0, -1, 1, 1, 0, 1, 1], [ 0, 0, 0, 0, 0, -1, 0, 0], [ 0, 1, 0, 0, 0, 1, 1, 0], [ -1, 0, -1, 1, 0, 0, 1, 1]]",1,,,1-5*t+14*t^2-24*t^3+29*t^4-24*t^5+14*t^6-5*t^7+t^8
11a_110,"[[ -1, 0, 0, 0, 0, 0], [ 0, -1, 0, -1, 0, 0], [ -1, 0, -1, 0, 0, 0], [ 0, 0, 0, 1, 0, 0], [ 0, 0, 0, 1, 1, 0], [ 1, 0, 1, -1, -1, 2]]",-2,,,2-10*t+22*t^2-29*t^3+22*t^4-10*t^5+2*t^6
11a_111,"[[ -1, 0, 0, 0, 0, 0], [ 0, -1, 0, -1, 0, 0], [ -1, 0, -1, 0, 0, 0], [ 0, 0, 0, -1, 0, 0], [ 0, 1, 0, 1, 1, 0], [ 1, 0, 1, 0, -1, 2]]",2,,,2-10*t+24*t^2-31*t^3+24*t^4-10*t^5+2*t^6
11a_112,"[[ 1, 0, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, -1, 0, -1, -1, -1], [ -1, 0, -1, -1, 0, 0, -1, -1], [ 0, 0, 0, 1, 1, 0, 0, 1], [ 0, 0, 0, 0, 1, 0, 0, 0], [ -1, 0, -1, -1, 0, -1, -1, -1], [ -1, 0, 0, -1, 0, 0, -1, 0], [ 0, 0, 0, 0, 1, 0, 0, 1]]",1,,,1-6*t+15*t^2-25*t^3+31*t^4-25*t^5+15*t^6-6*t^7+t^8
11a_113,"[[ 1, 0, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, -1, 0, -1, -1, -1], [ 0, 0, 1, 0, 1, 0, 0, 1], [ 0, 0, 1, 1, 1, 0, 1, 1], [ 0, 0, 0, 0, 1, 0, 0, 0], [ -1, 0, -1, -1, 0, -1, -1, 0], [ 0, 0, 1, 0, 1, 0, 1, 1], [ 0, 0, 0, 0, 1, 0, 0, 1]]",1,,,1-6*t+15*t^2-21*t^3+23*t^4-21*t^5+15*t^6-6*t^7+t^8
11a_114,"[[ -1, 0, -1, -1, 0, -1], [ 0, 1, 0, -1, 0, -1], [ 0, 0, -2, -1, 0, -2], [ 0, 0, -1, -2, 0, -1], [ 0, 1, 0, -1, 1, -1], [ 0, 0, -1, -1, 0, -2]]",3,,,3-15*t+35*t^2-45*t^3+35*t^4-15*t^5+3*t^6
11a_115,"[[ -1, 0, -1, 0, 0, -1], [ 0, 1, -1, 1, 0, -1], [ 0, 0, -2, 0, 0, -1], [ 0, 0, 0, 1, 0, -1], [ 0, 1, -1, 1, 1, -1], [ 0, 0, -1, 0, 0, -2]]",-3,,,3-13*t+27*t^2-35*t^3+27*t^4-13*t^5+3*t^6
11a_116,"[[ -1, -1, -1, -1, 0, -1], [ 0, -2, -2, -1, 0, -1], [ 0, -1, -2, -1, 0, -1], [ 0, -2, -2, -2, 0, -1], [ 0, -1, 0, -1, 1, -1], [ 0, -1, -1, -1, 0, -2]]",-3,,,3-15*t+31*t^2-39*t^3+31*t^4-15*t^5+3*t^6
11a_117,"[[ -1, 0, 0, 0, 0, 0], [ 0, -1, 0, 0, 0, -1], [ -1, 0, -1, 0, 0, 0], [ -1, 0, -1, 1, -1, 0], [ 0, 0, 0, 0, -1, 0], [ 0, 0, 0, 0, 1, -2]]",-2,,,2-12*t+27*t^2-35*t^3+27*t^4-12*t^5+2*t^6
11a_118,"[[ 1, 0, 0, 0, 0, 0], [ 0, -1, 0, -1, -1, -1], [ 1, -1, -2, -1, -1, -1], [ 0, 0, 0, -1, 0, -1], [ 0, 0, 0, 0, 1, 0], [ 0, 0, 0, 0, 0, -1]]",2,,,2-10*t+20*t^2-23*t^3+20*t^4-10*t^5+2*t^6
11a_119,"[[ 1, 0, 0, 0], [ 0, 1, 0, 0], [ 1, 0, -2, 0], [ 0, -1, -1, -2]]",4,,,4-19*t+31*t^2-19*t^3+4*t^4
11a_120,"[[ -1, -1, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0], [ -1, 0, 1, 1, -1, 0], [ 0, 0, 0, 1, 0, 0], [ 0, 0, 0, -1, 2, 1], [ 0, 0, 0, 0, 0, 1]]",-2,,,2-12*t+25*t^2-31*t^3+25*t^4-12*t^5+2*t^6
11a_121,"[[ 1, 0, 0, 0, 0, 0], [ 0, -1, -1, 0, 0, 0], [ 0, 0, 1, 0, 0, 0], [ 0, -1, 0, 1, 1, 0], [ 0, 0, 0, 0, 1, 0], [ -1, 0, 0, 0, -1, -1]]",1,,,1-9*t+29*t^2-41*t^3+29*t^4-9*t^5+t^6
11a_122,"[[ 1, 0, 0, 0, 0, 0], [ -1, -1, 0, -1, 1, -1], [ 0, 0, 1, 0, 0, 0], [ -1, 0, 0, -1, 1, 0], [ 0, 0, -1, 0, 2, -1], [ 0, 0, 1, 0, 0, 1]]",2,,,2-12*t+30*t^2-39*t^3+30*t^4-12*t^5+2*t^6
11a_123,"[[ -1, 1, 1, 0], [ 0, -3, -2, -1], [ 0, -2, -3, 0], [ 0, -1, -1, -2]]",9,,,9-29*t+41*t^2-29*t^3+9*t^4
11a_124,"[[ -1, 0, -1, -1, -1, 0], [ 0, -1, 0, 0, 0, -1], [ 0, 0, -2, -1, -2, -1], [ 0, 0, -1, -2, -1, 0], [ 0, 0, -1, -1, -2, -1], [ 0, 0, 0, 1, 0, -2]]",5,,,5-18*t+34*t^2-41*t^3+34*t^4-18*t^5+5*t^6
11a_125,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ 0, -1, 0, 0, -1, 0, 0, -1], [ -1, 0, -1, 0, 0, 0, 0, 0], [ -1, 0, -1, 1, 0, 1, 0, 0], [ 0, 0, 0, -1, -1, -1, -1, 0], [ 0, 0, 0, 0, 0, 1, 0, 0], [ -1, 0, -1, 1, 0, 1, 1, 0], [ 0, 0, 0, -1, -1, -1, 0, -1]]",-1,,,1-6*t+19*t^2-38*t^3+47*t^4-38*t^5+19*t^6-6*t^7+t^8
11a_126,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ 0, -1, 0, 0, 0, 0, 0, -1], [ -1, 0, -1, 0, 0, 0, 0, 0], [ -1, 0, -1, 1, 0, 1, 0, 0], [ -1, 0, -1, 1, 1, 1, 1, 0], [ 0, 0, 0, 0, 0, 1, 0, 0], [ -1, 0, -1, 1, 0, 1, 1, 0], [ 0, 0, 0, -1, 0, -1, -1, -1]]",1,,,1-5*t+16*t^2-31*t^3+39*t^4-31*t^5+16*t^6-5*t^7+t^8
11a_127,"[[ -1, 0, 0, 0, 0, 0, 0, 0], [ 0, -1, 0, 0, -1, 0, -1, -1], [ -1, 0, -1, 0, 0, 0, 0, 0], [ -1, 0, -1, 1, 0, 1, 0, 0], [ 0, 0, 0, -1, -1, -1, 0, 0], [ 0, 0, 0, 0, 0, 1, 0, 0], [ 0, 0, 0, -1, -1, -1, -1, 0], [ 0, 0, 0, 0, -1, -1, -1, -1]]",1,,,1-6*t+17*t^2-28*t^3+33*t^4-28*t^5+17*t^6-6*t^7+t^8
11a_128,"[[ -1, -1, 0, 0, 0, 0], [ 0, 1, 0, 0, 0, 0], [ 0, 0, 1, -1, 0, 0], [ -1, -1, 0, -1, 0, 0], [ -1, 0, 0, 0, 1, -1], [ 0, 0, 0, 0, 0, -1]]",-1,,,1-9*t+31*t^2-47*t^3+31*t^4-9*t^5+t^6
